bank_id,pm_family,course,unit,section,destination,destination_group,destination_slot,retrieval_stage_or_scope,mastery_goal_id,evidence_point_id,summative_version,blueprint_slot_id,question_family_id,variation_mode,task_architecture,dok,learning_target,i_can,practice_standard,item_type,answer_type,security_level,estimated_time_sec,figure_files,figure_source,graph_tool_type,source_basis,notes
U2-S1-WTC01,AP/SCI,Conceptual Physics,2,2.1,What's To Come,wtc,WTC01,current-section,U2-MG01,,,,,,,2,Students will explain that motion is relative and describe an object’s motion using an appropriate frame of reference.,I can explain why an object can be moving relative to one reference frame but not another.,,prediction / paired-observer reasoning,constructed-response,instructional,180,figures/unit2-reference-frame-bus.png,Framework approved course figure,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S1-NOTE-EX01,AP/SCI,Conceptual Physics,2,2.1,Notes Example,notes,EX01,current-section,U2-MG01,,,,,,,2,Students will explain that motion is relative and describe an object’s motion using an appropriate frame of reference.,I can explain why an object can be moving relative to one reference frame but not another.,scientific explanation,worked example,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S1-NOTE-YTI01,AP/SCI,Conceptual Physics,2,2.1,Notes YTI,notes,YTI01,current-section,U2-MG01,,,,,,,2,Students will explain that motion is relative and describe an object’s motion using an appropriate frame of reference.,I can explain why an object can be moving relative to one reference frame but not another.,scientific explanation,you try it,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S1-NOTE-EX02,AP/SCI,Conceptual Physics,2,2.1,Notes Example,notes,EX02,current-section,U2-MG01,,,,,,,2,Students will explain that motion is relative and describe an object’s motion using an appropriate frame of reference.,I can identify the reference frame used in a motion description.,perspective/representation reasoning,worked example,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S1-NOTE-YTI02,AP/SCI,Conceptual Physics,2,2.1,Notes YTI,notes,YTI02,current-section,U2-MG01,,,,,,,2,Students will explain that motion is relative and describe an object’s motion using an appropriate frame of reference.,I can identify the reference frame used in a motion description.,perspective/representation reasoning,you try it,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S1-NOTE-EX03,AP/SCI,Conceptual Physics,2,2.1,Notes Example,notes,EX03,current-section,U2-MG01,,,,,,,2,Students will explain that motion is relative and describe an object’s motion using an appropriate frame of reference.,I can compare motion from two different points of view and explain why everyday motion is usually described relative to Earth’s surface.,modeling,worked example,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S1-NOTE-YTI03,AP/SCI,Conceptual Physics,2,2.1,Notes YTI,notes,YTI03,current-section,U2-MG01,,,,,,,2,Students will explain that motion is relative and describe an object’s motion using an appropriate frame of reference.,I can compare motion from two different points of view and explain why everyday motion is usually described relative to Earth’s surface.,modeling,you try it,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S1-NOTE-EX04,AP/SCI,Conceptual Physics,2,2.1,Notes Example,notes,EX04,current-section,U2-MG01,,,,,,,2,Students will explain that motion is relative and describe an object’s motion using an appropriate frame of reference.,I can explain why an object can be moving relative to one reference frame but not another.,scientific explanation,worked example,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S1-NOTE-YTI04,AP/SCI,Conceptual Physics,2,2.1,Notes YTI,notes,YTI04,current-section,U2-MG01,,,,,,,2,Students will explain that motion is relative and describe an object’s motion using an appropriate frame of reference.,I can explain why an object can be moving relative to one reference frame but not another.,scientific explanation,you try it,constructed-response,instructional,180,,,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
U2-S2-WTC01,AP/SCI,Conceptual Physics,2,2.2,What's To Come,wtc,WTC01,current-section,U2-MG02,,,,,,,2,"Students will distinguish between speed and velocity and use distance, time, and direction to describe motion.","I can explain that velocity includes both speed and direction and compare examples of constant speed, constant velocity, and changing velocity.",data interpretation,graph sorting / prediction,constructed-response,instructional,180,figures/unit2-distance-time-graphs.png,Framework approved course figure,,Unit 2 Assessment Plan | Conceptual Physics Framework section archetypes/source packet,
