"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,Force is a vector because it has,magnitude and direction,mass and speed,distance and time,only a numerical size,30,1
2,The net force is,one physical interaction,the vector sum of all forces on an object,the object’s motion,the same as weight,30,2
3,"In a scaled vector diagram, arrow length represents",direction,mass,magnitude,time,30,3
4,A resultant vector represents,only the largest original force,a new interaction,the object’s speed,the combined effect of the original vectors,30,4
5,Which is a vector?,12 N west,4 kg,20 cm,6 s,30,1
6,A box has 30 N right and 12 N left. Net force?,42 N right,18 N right,18 N left,42 N left,45,2
7,Two forces of 14 N and 9 N both point left. Net force?,5 N left,23 N right,23 N left,5 N right,45,3
8,A cart has 8 N right + 11 N right + 6 N left. Net force?,25 N right,9 N left,3 N right,13 N right,45,4
9,Two equal-magnitude arrows point north and east. Which statement is best?,Their resultant lies between north and east.,They cancel.,Their resultant points south.,Direction is irrelevant.,45,1
10,Arrow A is twice as long as Arrow B on the same scale. What is supported?,A must oppose B.,A has twice the magnitude of B.,B has twice the magnitude.,They must cancel.,45,2
11,A student adds 20 N right and 8 N left to get 28 N right. What is the key error?,Forces cannot be combined.,The units should be kilograms.,"Opposite directions should be subtracted, giving 12 N right.",The result must always be zero.,60,3
12,Two equal-length arrows point in the same direction. A student says they cancel. Which correction is best?,Equal magnitudes always cancel.,Only the longer arrow counts.,Arrow length does not show magnitude.,They reinforce because direction matters; cancellation requires opposite directions.,60,4
13,Why is force a vector?,It has magnitude and direction.,It is always nonzero.,It always causes acceleration.,It is measured in seconds.,30,1
14,Which description is incomplete as a force vector?,20 N west,8 N,12 N upward,5 N southeast,30,2
15,Forces of 6 N right and 9 N right combine to,3 N right,15 N left,15 N right,3 N left,45,3
16,Forces of 19 N left and 7 N right combine to,26 N left,12 N right,26 N right,12 N left,45,4
17,Which arrow is the resultant in a component diagram?,the arrow that represents the combined components,any original force arrow,the shortest arrow only,the motion arrow,30,1
18,Why can a diagonal arrow represent two perpendicular components?,It removes both directions.,It summarizes their vector combination in one direction and magnitude.,It must equal the larger component only.,It means the forces cancel.,45,2
19,"On the same scale, a 4-cm arrow compared with a 2-cm arrow represents",half the magnitude,the same magnitude,twice the magnitude,zero force,30,3
20,Which arrow feature tells whether a force points left or right?,length,line thickness,label color,arrowhead direction,30,4
