bank_id,section,destination,priority_phase,issue_category,issue_severity,original_status,repair_action,student_prompt_changed,answer_changed,figure_or_table_changed,metadata_changed,original_prompt_hash,final_prompt_hash,validation_method,final_status,notes
U2-S1-PS1-Q09,2.1,Practice Set 1,3,metadata_sync|structural_scaffold_variety,MAJOR,REPAIR,Replaced generic critique shell with direct reference-frame application. Updated the canonical answer for the redesigned task. Updated task_architecture for redesigned family.,YES,YES,NO,YES,9ba0447d2a217213c852e9de5128140ccecdaf026dd40f433e1723153a1b3b0a,5385dfd5c68f70366e7e8d04f266833622c18beb4479217d71ffdf23f000ce63,Independent content and machine synchronization review | Practice family semantic/scaffold review across all four forms; exact-duplicate scan,PASS,Keeps critique/error-analysis for families where it is more natural.
U2-S1-PS1-Q16,2.1,Practice Set 1,3,generated_context_grammar,MAJOR,REPAIR,Repaired generated context grammar: 'inside a airport shuttle' -> 'inside an airport shuttle'.,YES,NO,NO,NO,95a433b5f5a904748df37ea07c6a105a183018cde07ef23b9ec9db380d2cb58f,d41b1c414407bb3e1aebd6f7dadca61c0e2d16541592cf11130afae3cd54bad8,Phrase-level grammar and physical-context review; final grammar scan,PASS,PM v3 phrase-level context grammar requirement.
U2-S1-PS2-Q01,2.1,Practice Set 2,3,generated_context_grammar,MAJOR,REPAIR,Repaired generated context grammar: 'a airport shuttle' -> 'an airport shuttle'.,YES,NO,NO,NO,445d30f223f60f3c534eeb3f311c18335e53aa77504b758878928208870a3ceb,33a28c39e637c6a7d22d9124997e9df71d71db949e5ffffe1e1d78bee5b4400a,Phrase-level grammar and physical-context review; final grammar scan,PASS,PM v3 phrase-level context grammar requirement.
U2-S1-PS2-Q09,2.1,Practice Set 2,3,metadata_sync|structural_scaffold_variety,MAJOR,REPAIR,Replaced generic critique shell with reference-frame identification and justification. Updated the canonical answer for the redesigned task. Updated task_architecture for redesigned family.,YES,YES,NO,YES,a07d76625f1b0d69264d0a2d7d5700bb922ff06eb15f90668e337fa86a32fcb0,db7c8f7b2a4da10f32b6dc67ed8a209b3e3aceb12d77d9b8ee7e2b27c346dbf9,Independent content and machine synchronization review | Practice family semantic/scaffold review across all four forms; exact-duplicate scan,PASS,
U2-S1-PS2-Q11,2.1,Practice Set 2,3,generated_context_grammar,MAJOR,REPAIR,Removed duplicated modifier 'moving moving train'.,NO,YES,NO,NO,c9683436a76d9f0c5273d6a267598afff2a4d45aa485f26fe5245dbbb0c312bf,c9683436a76d9f0c5273d6a267598afff2a4d45aa485f26fe5245dbbb0c312bf,Phrase-level grammar and physical-context review; final grammar scan,PASS,PM v3 duplicated-modifier check.
U2-S1-PS3-Q07,2.1,Practice Set 3,3,generated_context_grammar,MAJOR,REPAIR,Repaired generated context grammar: 'A airport shuttle' -> 'An airport shuttle'.,YES,NO,NO,NO,e0e81724715907e582395b66ce9d3d07307c3310d10042c24cf7a6319a13ed9e,21640d606d959e42b2c2770bc1f357010ecd05a91232df64c594c35c6bcd18c8,Phrase-level grammar and physical-context review; final grammar scan,PASS,PM v3 phrase-level context grammar requirement.
U2-S1-PS3-Q09,2.1,Practice Set 3,3,metadata_sync|structural_scaffold_variety,MAJOR,REPAIR,Replaced critique shell with a one-best-answer reference-frame principle check. Updated task_architecture for redesigned family.,YES,YES,NO,YES,ec7fbf2968ab719803dc2bbf663cb080558a9bb3d07508ad6c71025760ed4e8f,b475b838b28ec300af2911cd9e630b7e4dc9c50f513c61559dd044b5749358f1,Independent content and machine synchronization review | Practice family semantic/scaffold review across all four forms; exact-duplicate scan,PASS,"Distractors target Earth-only, stopped-frame, and law-vs-description misconceptions."
U2-S1-PS3-Q11,2.1,Practice Set 3,3,generated_context_grammar,MAJOR,REPAIR,Removed duplicated modifier 'moving moving walkway'.,YES,YES,NO,NO,79c644abc656fb05195e192cc34033baed4f5f89fb766e921202c737fbcd2ee5,41160d43b7322bb053d19010103e05a1fdd8d7e2b272ed482aee9102b6817413,Phrase-level grammar and physical-context review; final grammar scan,PASS,PM v3 duplicated-modifier check.
U2-S1-XP-Q05,2.1,Extra Practice,3,generated_context_grammar,MAJOR,REPAIR,Repaired generated context grammar: 'a airport shuttle' -> 'an airport shuttle'.,YES,NO,NO,NO,2111438a562377df00366dea20affcdcafef89355525bd36e9fde462a8e68665,cf814708b6b3ad0f55d281dc107f8504a56dc5f90aad6eee59dd40da0e95fa59,Phrase-level grammar and physical-context review; final grammar scan,PASS,PM v3 phrase-level context grammar requirement.
U2-S1-XP-Q06,2.1,Extra Practice,3,generated_context_grammar,MAJOR,REPAIR,Repaired generated context grammar: 'walks east through a moving moving walkway' -> 'walks east on a moving walkway'.,YES,NO,NO,NO,116f757d6ca579cebb5f588e39490c2439820f266cde0d2f470b7655df091c03,062f888562d352397d589ddd1c9eaa312b800d3c7f6b2aa9c72a2ea6ecda58db,Phrase-level grammar and physical-context review; final grammar scan,PASS,PM v3 phrase-level context grammar requirement.
U2-S1-XP-Q09,2.1,Extra Practice,3,metadata_sync|structural_scaffold_variety,MAJOR,REPAIR,Replaced generic critique shell with a frame-choice construction task. Updated the canonical answer for the redesigned task. Updated task_architecture for redesigned family.,YES,YES,NO,YES,c99bef3a997af82ce362f23d0cd6c23f4d2bc4ceedeb23a09206a0efddbae0f6,c28b42e9a1e038a83abd4731b6e0a9cd1b56bf083e0a7570db3e287698f567ca,Independent content and machine synchronization review | Practice family semantic/scaffold review across all four forms; exact-duplicate scan,PASS,
U2-S2-NOTE-EX05,2.2,Notes Example,2,representation_clarity,MAJOR,REPAIR,Clarified the graph quantity before interpreting slope as speed. Refined the teacher solution to match the fixed-marker graph interpretation.,YES,YES,NO,NO,c13eea3c18c5a6f7e9fd36564c20949c7630f2af39d39cbe1b14c77193e56140,7c222fbccf60a5a5f30ba6a8943810a59a862fdbdc9cd9c05ce4c5c213d908c9,Assessment Plan + Framework representation review; final prompt/answer consistency check,PASS,Prevents treating decreasing cumulative distance as physically possible while preserving the approved figure.
U2-S2-PS1-Q05,2.2,Practice Set 1,3,rendered_data_hygiene,MAJOR,REPAIR,Rendered structured student-facing data as a real HTML table and removed serialized list/tuple text.,YES,NO,YES,NO,7e4a58d1afb656d133eef695a5f325548cb70c5440b5d0ae2d896ad07031d851,5a5e48bfbffe0b9b0c917831fd64426a903a2f3de602d2b6f62e621b5cd6ab1d,HTML table + structured table metadata consistency; independent data calculation check,PASS,PM v3 rendered-data hygiene.
