summative_question,version_family,section,dok,source_formative,adaptation
1,V1-V4,1.2,1,U1-DOK1.1,vocabulary term/definition/context adaptation
1,V5-V6,1.2,1,U1-DOK1.1,vocabulary term/definition/context adaptation
1,V7-V8,1.2,1,U1-DOK1.1,vocabulary term/definition/context adaptation
2,V1-V4,1.2,1,U1-DOK1.2,motion-state classification adaptation
2,V5-V6,1.2,1,U1-DOK1.2,motion-state classification adaptation
2,V7-V8,1.2,1,U1-DOK1.2,motion-state classification adaptation
3,V1-V4,1.4,1,U1-DOK1.3,balanced/unbalanced diagram recognition
3,V5-V6,1.4,1,U1-DOK1.3,balanced/unbalanced diagram recognition
3,V7-V8,1.4,1,U1-DOK1.3,balanced/unbalanced diagram recognition
4,V1-V4,1.5,1,U1-DOK1.4,force vocabulary in context
4,V5-V6,1.5,1,U1-DOK1.4,force vocabulary in context
4,V7-V8,1.5,1,U1-DOK1.4,force vocabulary in context
5,V1-V4,1.3,1,U1-DOK1.4,vector/force vocabulary distinction
5,V5-V6,1.3,1,U1-DOK1.4,vector/force vocabulary distinction
5,V7-V8,1.3,1,U1-DOK1.4,vector/force vocabulary distinction
6,V1-V4,1.3,2,U1-DOK2.1,net-force calculation variant
6,V5-V6,1.3,2,U1-DOK2.1,net-force calculation variant
6,V7-V8,1.3,2,U1-DOK2.1,net-force calculation variant
7,V1-V4,1.3,2,U1-DOK2.2,force-diagram force identification
7,V5-V6,1.3,2,U1-DOK2.2,force-diagram force identification
7,V7-V8,1.3,2,U1-DOK2.2,force-diagram force identification
8,V1-V4,1.4,2,U1-DOK2.3,support-force/weight application
8,V5-V6,1.4,2,U1-DOK2.3,support-force/weight application
8,V7-V8,1.4,2,U1-DOK2.3,support-force/weight application
9,V1-V4,1.4,2,U1-DOK2.4,constant-motion equilibrium reasoning
9,V5-V6,1.4,2,U1-DOK2.4,constant-motion equilibrium reasoning
9,V7-V8,1.4,2,U1-DOK2.4,constant-motion equilibrium reasoning
10,V1-V4,1.3,2,U1-DOK2.1 + U1-DOK2.2,force-diagram net-force interpretation
10,V5-V6,1.3,2,U1-DOK2.1 + U1-DOK2.2,force-diagram net-force interpretation
10,V7-V8,1.3,2,U1-DOK2.1 + U1-DOK2.2,force-diagram net-force interpretation
11,V1-V4,1.4,2,U1-DOK2.3,weight-to-support multistep adaptation
11,V5-V6,1.4,2,U1-DOK2.3,weight-to-support multistep adaptation
11,V7-V8,1.4,2,U1-DOK2.3,weight-to-support multistep adaptation
12,V1-V4,1.2,3,U1-DOK3.1,inertia misconception analysis
12,V5-V6,1.2,3,U1-DOK3.1,inertia misconception analysis
12,V7-V8,1.2,3,U1-DOK3.1,inertia misconception analysis
13,V1-V4,1.5,3,U1-DOK3.2,multiple-representation consistency analysis
13,V5-V6,1.5,3,U1-DOK3.2,multiple-representation consistency analysis
13,V7-V8,1.5,3,U1-DOK3.2,multiple-representation consistency analysis
14,V1-V4,1.4,3,U1-DOK3.3,scale/support/net-force explanation
14,V5-V6,1.4,3,U1-DOK3.3,scale/support/net-force explanation
14,V7-V8,1.4,3,U1-DOK3.3,scale/support/net-force explanation
15,V1-V4,1.5,3,U1-DOK3.4,balanced-force error analysis
15,V5-V6,1.5,3,U1-DOK3.4,balanced-force error analysis
15,V7-V8,1.5,3,U1-DOK3.4,balanced-force error analysis
16,V1-V4,1.1/1.5,4,U1-DOK4.2 / U1-DOK4.3 / U1-DOK4.4,investigation/model/evidence evaluation
16,V5-V6,1.1/1.5,4,U1-DOK4.2 / U1-DOK4.3 / U1-DOK4.4,investigation/model/evidence evaluation
16,V7-V8,1.1/1.5,4,U1-DOK4.2 / U1-DOK4.3 / U1-DOK4.4,investigation/model/evidence evaluation
17,V1-V4,1.3,FR,U1-DOK2.1,net-force free response
17,V5-V6,1.3,FR,U1-DOK2.1,net-force free response
17,V7-V8,1.3,FR,U1-DOK2.1,net-force free response
18,V1-V4,1.4,FR,U1-DOK2.3,weight then support free response
18,V5-V6,1.4,FR,U1-DOK2.3,weight then support free response
18,V7-V8,1.4,FR,U1-DOK2.3,weight then support free response
19,V1-V4,1.4/1.5,FR,U1-DOK2.2 / U1-DOK4.1 / U1-DOK4.4,force-model construction/critique
19,V5-V6,1.4/1.5,FR,U1-DOK2.2 / U1-DOK4.1 / U1-DOK4.4,force-model construction/critique
19,V7-V8,1.4/1.5,FR,U1-DOK2.2 / U1-DOK4.1 / U1-DOK4.4,force-model construction/critique
20,V1-V4,1.1/1.5,FR,U1-DOK3.1 / U1-DOK3.4 / U1-DOK4.2 / U1-DOK4.3,context-rich reasoning/CER
20,V5-V6,1.1/1.5,FR,U1-DOK3.1 / U1-DOK3.4 / U1-DOK4.2 / U1-DOK4.3,context-rich reasoning/CER
20,V7-V8,1.1/1.5,FR,U1-DOK3.1 / U1-DOK3.4 / U1-DOK4.2 / U1-DOK4.3,context-rich reasoning/CER
