version_family,versions,question,source_formative_family,section,dok,adaptation_type
V1–V4,1–4,1,u04-dok1-1,4.1,DOK 1,vocabulary recognition/adaptation
V1–V4,1–4,2,u04-dok1-1,4.1,DOK 1,vocabulary clue/adaptation
V1–V4,1–4,3,u04-dok1-3,4.3,DOK 1,work/no-work classification
V1–V4,1–4,4,u04-dok1-2,4.3–4.4,DOK 1,energy-type classification
V1–V4,1–4,5,u04-dok1-4,4.5,DOK 1,source/carrier/transformation classification
V1–V4,1–4,6,u04-dok2-1,4.1,DOK 2,momentum calculation/ranking
V1–V4,1–4,7,u04-dok2-2,4.1,DOK 2,impulse/contact-time calculation
V1–V4,1–4,8,u04-dok2-3,4.2,DOK 2,before/after momentum model
V1–V4,1–4,9,u04-dok2-4,4.4,DOK 2,energy-bar interpretation
V1–V4,1–4,10,u04-dok3-3 + summative plan formula requirement,4.3,DOK 2,familiar work/power calculation derived from work-energy family
V1–V4,1–4,11,u04-dok1-2/u04-dok2-4 + summative plan formula requirement,4.3–4.4,DOK 2,familiar KE/PE calculation grounded in energy families
V1–V4,1–4,12,u04-dok3-1,4.1,DOK 3,impulse-safety explanation converted to misconception MC
V1–V4,1–4,13,u04-dok3-2,4.2,DOK 3,system-boundary reasoning
V1–V4,1–4,14,u04-dok3-3,4.3–4.4,DOK 3,work-energy misconception analysis
V1–V4,1–4,15,u04-dok3-4,4.5,DOK 3,energy-source claim critique
V1–V4,1–4,16,u04-dok4-1/u04-dok4-2/u04-dok4-3/u04-dok4-4,4.1–4.5,DOK 4,evidence/model/design evaluation
V1–V4,1–4,17,u04-dok2-1/u04-dok2-2,4.1,DOK 2–3,multistep momentum/impulse FR
V1–V4,1–4,18,u04-dok3-3 + summative plan formula requirement,4.3–4.4,DOK 2–3,multistep work/power/KE/PE FR
V1–V4,1–4,19,u04-dok2-3/u04-dok3-2/u04-dok4-1,4.2,DOK 3,collision/system/conservation FR
V1–V4,1–4,20,u04-dok3-3/u04-dok3-4/u04-dok4-3/u04-dok4-4,4.4–4.5,DOK 3–4,energy transformation/critique/CER FR
V5–V6,5–6,1,u04-dok1-1,4.1,DOK 1,vocabulary recognition/adaptation
V5–V6,5–6,2,u04-dok1-1,4.1,DOK 1,vocabulary clue/adaptation
V5–V6,5–6,3,u04-dok1-3,4.3,DOK 1,work/no-work classification
V5–V6,5–6,4,u04-dok1-2,4.3–4.4,DOK 1,energy-type classification
V5–V6,5–6,5,u04-dok1-4,4.5,DOK 1,source/carrier/transformation classification
V5–V6,5–6,6,u04-dok2-1,4.1,DOK 2,momentum calculation/ranking
V5–V6,5–6,7,u04-dok2-2,4.1,DOK 2,impulse/contact-time calculation
V5–V6,5–6,8,u04-dok2-3,4.2,DOK 2,before/after momentum model
V5–V6,5–6,9,u04-dok2-4,4.4,DOK 2,energy-bar interpretation
V5–V6,5–6,10,u04-dok3-3 + summative plan formula requirement,4.3,DOK 2,familiar work/power calculation derived from work-energy family
V5–V6,5–6,11,u04-dok1-2/u04-dok2-4 + summative plan formula requirement,4.3–4.4,DOK 2,familiar KE/PE calculation grounded in energy families
V5–V6,5–6,12,u04-dok3-1,4.1,DOK 3,impulse-safety explanation converted to misconception MC
V5–V6,5–6,13,u04-dok3-2,4.2,DOK 3,system-boundary reasoning
V5–V6,5–6,14,u04-dok3-3,4.3–4.4,DOK 3,work-energy misconception analysis
V5–V6,5–6,15,u04-dok3-4,4.5,DOK 3,energy-source claim critique
V5–V6,5–6,16,u04-dok4-1/u04-dok4-2/u04-dok4-3/u04-dok4-4,4.1–4.5,DOK 4,evidence/model/design evaluation
V5–V6,5–6,17,u04-dok2-1/u04-dok2-2,4.1,DOK 2–3,multistep momentum/impulse FR
V5–V6,5–6,18,u04-dok3-3 + summative plan formula requirement,4.3–4.4,DOK 2–3,multistep work/power/KE/PE FR
V5–V6,5–6,19,u04-dok2-3/u04-dok3-2/u04-dok4-1,4.2,DOK 3,collision/system/conservation FR
V5–V6,5–6,20,u04-dok3-3/u04-dok3-4/u04-dok4-3/u04-dok4-4,4.4–4.5,DOK 3–4,energy transformation/critique/CER FR
V7–V8,7–8,1,u04-dok1-1,4.1,DOK 1,vocabulary recognition/adaptation
V7–V8,7–8,2,u04-dok1-1,4.1,DOK 1,vocabulary clue/adaptation
V7–V8,7–8,3,u04-dok1-3,4.3,DOK 1,work/no-work classification
V7–V8,7–8,4,u04-dok1-2,4.3–4.4,DOK 1,energy-type classification
V7–V8,7–8,5,u04-dok1-4,4.5,DOK 1,source/carrier/transformation classification
V7–V8,7–8,6,u04-dok2-1,4.1,DOK 2,momentum calculation/ranking
V7–V8,7–8,7,u04-dok2-2,4.1,DOK 2,impulse/contact-time calculation
V7–V8,7–8,8,u04-dok2-3,4.2,DOK 2,before/after momentum model
V7–V8,7–8,9,u04-dok2-4,4.4,DOK 2,energy-bar interpretation
V7–V8,7–8,10,u04-dok3-3 + summative plan formula requirement,4.3,DOK 2,familiar work/power calculation derived from work-energy family
V7–V8,7–8,11,u04-dok1-2/u04-dok2-4 + summative plan formula requirement,4.3–4.4,DOK 2,familiar KE/PE calculation grounded in energy families
V7–V8,7–8,12,u04-dok3-1,4.1,DOK 3,impulse-safety explanation converted to misconception MC
V7–V8,7–8,13,u04-dok3-2,4.2,DOK 3,system-boundary reasoning
V7–V8,7–8,14,u04-dok3-3,4.3–4.4,DOK 3,work-energy misconception analysis
V7–V8,7–8,15,u04-dok3-4,4.5,DOK 3,energy-source claim critique
V7–V8,7–8,16,u04-dok4-1/u04-dok4-2/u04-dok4-3/u04-dok4-4,4.1–4.5,DOK 4,evidence/model/design evaluation
V7–V8,7–8,17,u04-dok2-1/u04-dok2-2,4.1,DOK 2–3,multistep momentum/impulse FR
V7–V8,7–8,18,u04-dok3-3 + summative plan formula requirement,4.3–4.4,DOK 2–3,multistep work/power/KE/PE FR
V7–V8,7–8,19,u04-dok2-3/u04-dok3-2/u04-dok4-1,4.2,DOK 3,collision/system/conservation FR
V7–V8,7–8,20,u04-dok3-3/u04-dok3-4/u04-dok4-3/u04-dok4-4,4.4–4.5,DOK 3–4,energy transformation/critique/CER FR
