bank_id,summative_version,question_number,i_can_id,i_can,evidence_job,structure_id,response_mode,representation_mode,representation_required,question_family_id,variant_role,seed_slot_id,source_basis
U1-SUM-V1-Q01,V1,1,U1-S1-IC1,"I can distinguish between an observation, inference, hypothesis, law, and theory.",distinguish observation from inference from a concise evidence scenario,SELRESP-SINGLE-MISCONCEPTION-CHECK-01,selected_response,direct_text,false,u1-s1-ic1-distinguish-observation-inference-concise-evidence-scenario,seed,,Original Unit 1 Assessment Plan 1.1 | Audited map evidence job: distinguish observation from inference from a concise evidence scenario
U1-SUM-V1-Q02,V1,2,U1-S1-IC2,I can explain why a claim must be testable to be scientific.,identify which claim is scientifically testable,SELRESP-SINGLE-MISCONCEPTION-CHECK-01,selected_response,direct_text,false,u1-s1-ic2-identify-which-claim-is-scientifically-testable,seed,,Original Unit 1 Assessment Plan 1.1 | Audited map evidence job: identify which claim is scientifically testable
U1-SUM-V1-Q03,V1,3,U1-S2-IC1,I can state Newton’s First Law in everyday language.,apply Newton First Law to predict unchanged motion,SELRESP-SINGLE-MISCONCEPTION-CHECK-01,selected_response,motion_description,false,u1-s2-ic1-apply-newton-first-law-predict-unchanged-motion,seed,,Original Unit 1 Assessment Plan 1.2 | Audited map evidence job: apply Newton First Law to predict unchanged motion
U1-SUM-V1-Q04,V1,4,U1-S2-IC2,"I can explain that inertia is a property of matter, not a force.",reject inertia-as-force reasoning,SELRESP-SINGLE-MISCONCEPTION-CHECK-01,selected_response,direct_text,false,u1-s2-ic2-reject-inertia-as-force-reasoning,seed,,Original Unit 1 Assessment Plan 1.2 | Audited map evidence job: reject inertia-as-force reasoning
U1-SUM-V1-Q05,V1,5,U1-S2-IC3,"I can distinguish between “no forces acting” and “no net force acting.” and identify support force, weight, and other common forces in simple situations.",distinguish no forces from zero net force using a force model,PHYS-REPRESENTATION-CONSISTENCY-01,selected_response,force_diagram,true,u1-s2-ic3-distinguish-no-forces-zero-net-force-force-model,seed,,Original Unit 1 Assessment Plan 1.2 | Audited map evidence job: distinguish no forces from zero net force using a force model
U1-SUM-V1-Q06,V1,6,U1-S3-IC1,I can explain why force is a vector quantity.,interpret vector magnitude and direction,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,selected_response,vector_diagram,true,u1-s3-ic1-interpret-vector-magnitude-direction,seed,,Original Unit 1 Assessment Plan 1.3 | Audited map evidence job: interpret vector magnitude and direction
U1-SUM-V1-Q07,V1,7,U1-S3-IC2,I can combine forces acting in the same direction or opposite directions.,determine net force in a one-dimensional force combination,FORMULA-DIRECT-RELATIONSHIP-01,selected_response,vector_line,true,u1-s3-ic2-determine-net-force-dimensional-force-combination,seed,,Original Unit 1 Assessment Plan 1.3 | Audited map evidence job: determine net force in a one-dimensional force combination
U1-SUM-V1-Q08,V1,8,U1-S3-IC3,I can identify the resultant force from a simple vector diagram and use arrow length and direction to compare force strength and direction.,identify resultant force from a scaled vector diagram,REPRESENTATION-READ-THEN-CALCULATE-01,selected_response,vector_diagram,true,u1-s3-ic3-identify-resultant-force-scaled-vector-diagram,seed,,Original Unit 1 Assessment Plan 1.3 | Audited map evidence job: identify resultant force from a scaled vector diagram
U1-SUM-V1-Q09,V1,9,U1-S4-IC1,I can recognize static equilibrium and dynamic equilibrium.,classify static versus dynamic equilibrium from motion evidence,SELRESP-SINGLE-MISCONCEPTION-CHECK-01,selected_response,motion_description,false,u1-s4-ic1-classify-static-versus-dynamic-equilibrium-motion-evidence,seed,,Original Unit 1 Assessment Plan 1.4 | Audited map evidence job: classify static versus dynamic equilibrium from motion evidence
U1-SUM-V1-Q10,V1,10,U1-S4-IC2,I can explain why an object at rest can still have forces acting on it.,identify why a resting object can have forces acting,PHYS-REPRESENTATION-CONSISTENCY-01,selected_response,force_diagram,true,u1-s4-ic2-identify-why-resting-object-can-have-forces-acting,seed,,Original Unit 1 Assessment Plan 1.4 | Audited map evidence job: identify why a resting object can have forces acting
U1-SUM-V1-Q11,V1,11,U1-S5-IC2,I can decide whether the forces are balanced or unbalanced.,classify a force model as balanced or unbalanced,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,selected_response,force_diagram,true,u1-s5-ic2-classify-force-model-as-balanced-unbalanced,seed,,Original Unit 1 Assessment Plan 1.5 | Audited map evidence job: classify a force model as balanced or unbalanced
U1-SUM-V1-Q12,V1,12,U1-S2-IC3,"I can distinguish between “no forces acting” and “no net force acting.” and identify support force, weight, and other common forces in simple situations.",identify support force and weight on the chosen object,FEATURE-IDENTIFY-FROM-REPRESENTATION-01,selected_response,force_diagram,true,u1-s2-ic3-identify-support-force-weight-on-chosen-object,seed,,Original Unit 1 Assessment Plan 1.2 | Audited map evidence job: identify support force and weight on the chosen object
U1-SUM-V1-Q13,V1,13,U1-S3-IC2,I can combine forces acting in the same direction or opposite directions.,reason backward to a missing force from the resultant,FORMULA-INVERSE-VARIABLE-01,selected_response,vector_line,true,u1-s3-ic2-reason-backward-missing-force-resultant,seed,,Original Unit 1 Assessment Plan 1.3 | Audited map evidence job: reason backward to a missing force from the resultant
