summative_target,version_family,source_formative_family,section,dok_or_type,adaptation
Q1,V1-4,U3-DOK1.1,3.1,1,recognition/diagram adaptation
Q1,V5-6,U3-DOK1.1,3.1,1,recognition/diagram adaptation
Q1,V7-8,U3-DOK1.1,3.1,1,recognition/diagram adaptation
Q2,V1-4,U3-DOK1.2,3.2,1,vocabulary-direction/context adaptation
Q2,V5-6,U3-DOK1.2,3.2,1,vocabulary-direction/context adaptation
Q2,V7-8,U3-DOK1.2,3.2,1,vocabulary-direction/context adaptation
Q3,V1-4,U3-DOK1.3,3.3,1,classification/context adaptation
Q3,V5-6,U3-DOK1.3,3.3,1,classification/context adaptation
Q3,V7-8,U3-DOK1.3,3.3,1,classification/context adaptation
Q4,V1-4,U3-DOK1.4,3.4,1,interaction-pair adaptation
Q4,V5-6,U3-DOK1.4,3.4,1,interaction-pair adaptation
Q4,V7-8,U3-DOK1.4,3.4,1,interaction-pair adaptation
Q5,V1-4,U3-DOK2.4,3.5,1,projectile-recognition adaptation
Q5,V5-6,U3-DOK2.4,3.5,1,projectile-recognition adaptation
Q5,V7-8,U3-DOK2.4,3.5,1,projectile-recognition adaptation
Q6,V1-4,U3-DOK2.1,3.1,2,number/context/formula adaptation
Q6,V5-6,U3-DOK2.1,3.1,2,number/context/formula adaptation
Q6,V7-8,U3-DOK2.1,3.1,2,number/context/formula adaptation
Q7,V1-4,U3-DOK2.2,3.2,2,diagram/number adaptation
Q7,V5-6,U3-DOK2.2,3.2,2,diagram/number adaptation
Q7,V7-8,U3-DOK2.2,3.2,2,diagram/number adaptation
Q8,V1-4,U3-DOK2.1,3.1,2,Newton-second-law pattern/multistep adaptation
Q8,V5-6,U3-DOK2.1,3.1,2,Newton-second-law pattern/multistep adaptation
Q8,V7-8,U3-DOK2.1,3.1,2,Newton-second-law pattern/multistep adaptation
Q9,V1-4,U3-DOK2.3,3.3,2,falling-force model adaptation
Q9,V5-6,U3-DOK2.3,3.3,2,falling-force model adaptation
Q9,V7-8,U3-DOK2.3,3.3,2,falling-force model adaptation
Q10,V1-4,U3-DOK2.4,3.5,2,component/formula adaptation
Q10,V5-6,U3-DOK2.4,3.5,2,component/formula adaptation
Q10,V7-8,U3-DOK2.4,3.5,2,component/formula adaptation
Q11,V1-4,U3-DOK2.3,3.3,2,falling-force comparison/model adaptation
Q11,V5-6,U3-DOK2.3,3.3,2,falling-force comparison/model adaptation
Q11,V7-8,U3-DOK2.3,3.3,2,falling-force comparison/model adaptation
Q12,V1-4,U3-DOK3.1,3.1,3,misconception-to-MC adaptation
Q12,V5-6,U3-DOK3.1,3.1,3,misconception-to-MC adaptation
Q12,V7-8,U3-DOK3.1,3.1,3,misconception-to-MC adaptation
Q13,V1-4,U3-DOK3.2,3.2,3,explanation-to-MC adaptation
Q13,V5-6,U3-DOK3.2,3.2,3,explanation-to-MC adaptation
Q13,V7-8,U3-DOK3.2,3.2,3,explanation-to-MC adaptation
Q14,V1-4,U3-DOK3.3,3.3,3,terminal-speed evidence adaptation
Q14,V5-6,U3-DOK3.3,3.3,3,terminal-speed evidence adaptation
Q14,V7-8,U3-DOK3.3,3.3,3,terminal-speed evidence adaptation
Q15,V1-4,U3-DOK3.4,3.4,3,interaction explanation adaptation
Q15,V5-6,U3-DOK3.4,3.4,3,interaction explanation adaptation
Q15,V7-8,U3-DOK3.4,3.4,3,interaction explanation adaptation
Q16,V1-4,U3-DOK4.4,3.5,4,model-critique-to-MC adaptation
Q16,V5-6,U3-DOK4.4,3.5,4,model-critique-to-MC adaptation
Q16,V7-8,U3-DOK4.4,3.5,4,model-critique-to-MC adaptation
Q17,V1-4,U3-DOK2.1,3.1,FR,formula/reasoning FR adaptation
Q17,V5-6,U3-DOK2.1,3.1,FR,formula/reasoning FR adaptation
Q17,V7-8,U3-DOK2.1,3.1,FR,formula/reasoning FR adaptation
Q18,V1-4,U3-DOK2.2/U3-DOK2.3/U3-DOK3.2,3.2/3.3,FR,formula/reasoning FR adaptation
Q18,V5-6,U3-DOK2.2/U3-DOK2.3/U3-DOK3.2,3.2/3.3,FR,formula/reasoning FR adaptation
Q18,V7-8,U3-DOK2.2/U3-DOK2.3/U3-DOK3.2,3.2/3.3,FR,formula/reasoning FR adaptation
Q19,V1-4,U3-DOK3.4/U3-DOK4.3,3.4,FR,interaction/system FR adaptation
Q19,V5-6,U3-DOK3.4/U3-DOK4.3,3.4,FR,interaction/system FR adaptation
Q19,V7-8,U3-DOK3.4/U3-DOK4.3,3.4,FR,interaction/system FR adaptation
Q20,V1-4,U3-DOK4.4,3.5,FR,projectile model FR adaptation
Q20,V5-6,U3-DOK4.4,3.5,FR,projectile model FR adaptation
Q20,V7-8,U3-DOK4.4,3.5,FR,projectile model FR adaptation
