1. A book rests motionless on a table with balanced forces. Which type of equilibrium is this? | Static equilibrium
2. A cart moves in a straight line at constant velocity while its forces balance. Which type of equilibrium is this? | Dynamic equilibrium
3. A car moves at constant speed around a curve. Is it in mechanical equilibrium? | No, because its velocity direction changes.
4. A puck glides straight at steady speed with zero net force. Which classification fits? | Dynamic equilibrium
5. An elevator travels upward at constant velocity. What does equilibrium require? | The upward and downward forces balance.
6. A sign hangs motionless from a vertical cable. Why can it remain at rest while forces act? | Cable tension balances weight.
7. A crate is held at rest while a rope pulls right across a rough floor. Which horizontal interaction can balance the rope pull? | Static friction to the left
8. A 120 N sign hangs motionless from one vertical cable. What is the cable tension? | 120 N upward
9. A 640 N box rests on a level floor. What total upward support force is required for vertical equilibrium? | 640 N upward
10. A cart has 28 N right and 12 N left. What additional force gives horizontal equilibrium? | 16 N left
11. A system has 140 N left and 55 N right. What additional force gives equilibrium? | 85 N right
12. A drone moves horizontally at constant velocity while drag is 4 N left. What horizontal thrust is needed? | 4 N right
13. A hanging display weighs 500 N. One support provides 320 N upward. How much upward support must the other provide for equilibrium? | 180 N
14. A skier moves straight at constant velocity while air resistance is 30 N backward. What forward horizontal force balances it? | 30 N forward
15. Which statement about zero net force is correct? | An object can be at rest or move with constant nonzero velocity.
16. For full equilibrium in two dimensions, what must be true? | The net force is zero in each component direction.
17. An object is in equilibrium. One rightward balancing force becomes slightly larger. What happens? | The object accelerates to the right.
18. What distinguishes dynamic equilibrium from static equilibrium? | Dynamic equilibrium has constant nonzero velocity; static equilibrium is at rest.
