Prompt	Answer
A student claims, “If an object is at rest, its weight must be zero.” Critique the claim.	Weight can be nonzero; a support or tension force can balance it so the net force is zero.
A hanging plant is motionless. Explain why its rest does not mean “no forces act.”	Cord tension upward balances gravitational weight downward.
A crate moves right at constant speed while a 142 N driving force acts right. Determine the horizontal resistive force required for equilibrium.	142 N left
A hanging object is in equilibrium. The total upward force is 498 N. Determine the downward weight.	498 N downward
A picture frame hangs motionless with balanced forces. Name the equilibrium state.	static equilibrium
A hanging object is in equilibrium. The total upward force is 294 N. Determine the downward weight.	294 N downward
A hanging object is in equilibrium. The total upward force is 396 N. Determine the downward weight.	396 N downward
A student stands motionless on the floor while support force balances weight. Classify the state.	static equilibrium
What must ΣF equal in equilibrium? [Family 26]	0 N
What must ΣF equal in equilibrium? [Family 29]	0 N
What equilibrium state has zero net force and nonzero constant velocity? [Family 03]	dynamic equilibrium
An object moves straight at constant speed. The rightward force is 298 N. What leftward force is required for horizontal equilibrium, and why?	298 N left; constant velocity requires zero net force.
A bus travels straight at constant velocity while driving and resistance forces balance. Classify the state.	dynamic equilibrium
A hanging object is in equilibrium. The total upward force is 345 N. Determine the downward weight.	345 N downward
Can an object at rest have nonzero individual forces? [Family 10]	Yes, if their vector sum is zero.
A crate moves right at constant speed while a 207 N driving force acts right. Determine the horizontal resistive force required for equilibrium.	207 N left
A crate moves right at constant speed while a 220 N driving force acts right. Determine the horizontal resistive force required for equilibrium.	220 N left
Can an object at rest have nonzero individual forces? [Family 14]	Yes, if their vector sum is zero.
