bank_id,slot_id,section,destination,form,slot_number,i_can_id,i_can,evidence_job,structure_id,representation_mode,question_family_id,variant_role,seed_slot_id,dok,audit_status,stage_3e_audit_status
U1-S1-WTC-1,U1-S1-WTC-1,1.1,WTC,WTC,1,U1-S1-IC3,"I can use evidence from a short scenario to decide whether a physics explanation is supported and explain why formulas in physics are guides for thinking, not just tools for calculation.","navigate a multipart evidence/model task: identify what is observed, interpret the shared data/model, plan an evidence test, and justify which conclusion is supported",WTC-FRQ-PREVIEW-01,table_model,U1-S1-wtc-frq-navigation,seed,,3,NEEDS AUDIT,PASS
U1-S1-EX-1,U1-S1-EX-1,1.1,Notes Example,Example,1,U1-S1-IC1,"I can distinguish between an observation, inference, hypothesis, law, and theory.",classify observation versus inference from a compact observation/measurement record,PROC-DIRECT-EXECUTE-01,table_data,u1-s1-ic1-classify-observation-versus-inference-observation-measurement-record,seed,,2,NEEDS AUDIT,PASS
U1-S1-EX-2,U1-S1-EX-2,1.1,Notes Example,Example,2,U1-S1-IC2,I can explain why a claim must be testable to be scientific.,evaluate testability of a claim and identify what evidence would test it,ERROR-CRITIQUE-CLAIM-01,direct_text,u1-s1-ic2-evaluate-testability-claim-identify-what-evidence-would-test-it,seed,,2,NEEDS AUDIT,PASS
U1-S1-EX-3,U1-S1-EX-3,1.1,Notes Example,Example,3,U1-S1-IC3,"I can use evidence from a short scenario to decide whether a physics explanation is supported and explain why formulas in physics are guides for thinking, not just tools for calculation.",judge whether evidence supports an explanation using a short scenario,CER-CLAIM-EVIDENCE-REASONING-01,evidence_set,u1-s1-ic3-judge-evidence-supports-explanation-scenario,seed,,2,NEEDS AUDIT,PASS
U1-S1-EX-4,U1-S1-EX-4,1.1,Notes Example,Example,4,U1-S1-IC3,"I can use evidence from a short scenario to decide whether a physics explanation is supported and explain why formulas in physics are guides for thinking, not just tools for calculation.",interpret a supplied simple physical relationship before using it quantitatively,PHYS-QUALITATIVE-CHANGE-PREDICT-01,equation_relationship,u1-s1-ic3-interpret-supplied-simple-physical-relationship-before-it-quantitatively,seed,,2,NEEDS AUDIT,PASS
U1-S1-YTI-1,U1-S1-YTI-1,1.1,Notes YTI,YTI,1,U1-S1-IC1,"I can distinguish between an observation, inference, hypothesis, law, and theory.",classify observation versus inference from a compact observation/measurement record,PROC-DIRECT-EXECUTE-01,table_data,u1-s1-ic1-classify-observation-versus-inference-observation-measurement-record,parallel,U1-S1-EX-1,2,NEEDS AUDIT,PASS
U1-S1-YTI-2,U1-S1-YTI-2,1.1,Notes YTI,YTI,2,U1-S1-IC2,I can explain why a claim must be testable to be scientific.,evaluate testability of a claim and identify what evidence would test it,ERROR-CRITIQUE-CLAIM-01,direct_text,u1-s1-ic2-evaluate-testability-claim-identify-what-evidence-would-test-it,parallel,U1-S1-EX-2,2,NEEDS AUDIT,PASS
U1-S1-YTI-3,U1-S1-YTI-3,1.1,Notes YTI,YTI,3,U1-S1-IC3,"I can use evidence from a short scenario to decide whether a physics explanation is supported and explain why formulas in physics are guides for thinking, not just tools for calculation.",judge whether evidence supports an explanation using a short scenario,CER-CLAIM-EVIDENCE-REASONING-01,evidence_set,u1-s1-ic3-judge-evidence-supports-explanation-scenario,parallel,U1-S1-EX-3,2,NEEDS AUDIT,PASS
U1-S1-YTI-4,U1-S1-YTI-4,1.1,Notes YTI,YTI,4,U1-S1-IC3,"I can use evidence from a short scenario to decide whether a physics explanation is supported and explain why formulas in physics are guides for thinking, not just tools for calculation.",interpret a supplied simple physical relationship before using it quantitatively,PHYS-QUALITATIVE-CHANGE-PREDICT-01,equation_relationship,u1-s1-ic3-interpret-supplied-simple-physical-relationship-before-it-quantitatively,parallel,U1-S1-EX-4,2,NEEDS AUDIT,PASS
U1-S1-PS1-Q01,U1-S1-PS1-Q01,1.1,Practice Set 1,PS1,1,U1-S1-IC1,"I can distinguish between an observation, inference, hypothesis, law, and theory.",build precise vocabulary meaning for observation in the section learning context,VOCAB-TERM-TO-DEFINITION-01,direct_text,u1-s1-ic1-build-precise-vocabulary-meaning-observation-vocab-term-to-definition,seed,,1,NEEDS AUDIT,PASS
U1-S1-PS1-Q02,U1-S1-PS1-Q02,1.1,Practice Set 1,PS1,2,U1-S1-IC1,"I can distinguish between an observation, inference, hypothesis, law, and theory.",build precise vocabulary meaning for inference in the section learning context,VOCAB-DEFINITION-TO-TERM-01,direct_text,u1-s1-ic1-build-precise-vocabulary-meaning-inference,seed,,1,NEEDS AUDIT,PASS
U1-S1-PS1-Q03,U1-S1-PS1-Q03,1.1,Practice Set 1,PS1,3,U1-S1-IC1,"I can distinguish between an observation, inference, hypothesis, law, and theory.",build precise vocabulary meaning for hypothesis in the section learning context,VOCAB-CONCEPT-TO-TERM-01,direct_text,u1-s1-ic1-build-precise-vocabulary-meaning-hypothesis,seed,,1,NEEDS AUDIT,PASS
U1-S1-PS1-Q04,U1-S1-PS1-Q04,1.1,Practice Set 1,PS1,4,U1-S1-IC1,"I can distinguish between an observation, inference, hypothesis, law, and theory.",build precise vocabulary meaning for scientific law in the section learning context,VOCAB-TERM-TO-CONCEPT-01,direct_text,u1-s1-ic1-build-precise-vocabulary-meaning-scientific-law,seed,,1,NEEDS AUDIT,PASS
U1-S1-PS1-Q05,U1-S1-PS1-Q05,1.1,Practice Set 1,PS1,5,U1-S1-IC1,"I can distinguish between an observation, inference, hypothesis, law, and theory.",build precise vocabulary meaning for scientific theory in the section learning context,VOCAB-TERM-TO-DEFINITION-01,direct_text,u1-s1-ic1-build-precise-vocabulary-meaning-scientific-theory,seed,,1,NEEDS AUDIT,PASS
U1-S1-PS1-Q06,U1-S1-PS1-Q06,1.1,Practice Set 1,PS1,6,U1-S1-IC3,"I can use evidence from a short scenario to decide whether a physics explanation is supported and explain why formulas in physics are guides for thinking, not just tools for calculation.",build precise vocabulary meaning for evidence in the section learning context,VOCAB-DEFINITION-TO-TERM-01,direct_text,u1-s1-ic3-build-precise-vocabulary-meaning-evidence-vocab-definition-to-term,seed,,1,NEEDS AUDIT,PASS
U1-S1-PS1-Q07,U1-S1-PS1-Q07,1.1,Practice Set 1,PS1,7,U1-S1-IC3,"I can use evidence from a short scenario to decide whether a physics explanation is supported and explain why formulas in physics are guides for thinking, not just tools for calculation.",build precise vocabulary meaning for model in the section learning context,VOCAB-CONCEPT-TO-TERM-01,direct_text,u1-s1-ic3-build-precise-vocabulary-meaning-model,seed,,1,NEEDS AUDIT,PASS
U1-S1-PS1-Q08,U1-S1-PS1-Q08,1.1,Practice Set 1,PS1,8,U1-S1-IC2,I can explain why a claim must be testable to be scientific.,build precise vocabulary meaning for testable claim in the section learning context,VOCAB-TERM-TO-CONCEPT-01,direct_text,u1-s1-ic2-build-precise-vocabulary-meaning-testable-claim,seed,,1,NEEDS AUDIT,PASS
U1-S1-PS1-Q09,U1-S1-PS1-Q09,1.1,Practice Set 1,PS1,9,U1-S1-IC1,"I can distinguish between an observation, inference, hypothesis, law, and theory.",build precise vocabulary meaning for observation in the section learning context,VOCAB-TERM-TO-DEFINITION-01,direct_text,u1-s1-ic1-build-precise-vocabulary-meaning-observation-vocab-term-to-definition-direct-text,seed,,1,NEEDS AUDIT,PASS
U1-S1-PS1-Q10,U1-S1-PS1-Q10,1.1,Practice Set 1,PS1,10,U1-S1-IC3,"I can use evidence from a short scenario to decide whether a physics explanation is supported and explain why formulas in physics are guides for thinking, not just tools for calculation.",build precise vocabulary meaning for evidence in the section learning context,VOCAB-DEFINITION-TO-TERM-01,direct_text,u1-s1-ic3-build-precise-vocabulary-meaning-evidence-vocab-definition-to-term-direct-text,seed,,1,NEEDS AUDIT,PASS
U1-S1-PS1-Q11,U1-S1-PS1-Q11,1.1,Practice Set 1,PS1,11,U1-S1-IC1,"I can distinguish between an observation, inference, hypothesis, law, and theory.",distinguish direct observation from an inference based on the same evidence,PROC-DIRECT-EXECUTE-01,direct_text,u1-s1-ic1-distinguish-direct-observation-inference-based-on-evidence,seed,,2,NEEDS AUDIT,PASS
U1-S1-PS1-Q12,U1-S1-PS1-Q12,1.1,Practice Set 1,PS1,12,U1-S1-IC1,"I can distinguish between an observation, inference, hypothesis, law, and theory.","compare law, theory, hypothesis, and inference by their scientific role",PHYS-RANK-COMPARE-QUANTITIES-01,direct_text,u1-s1-ic1-compare-law-theory-hypothesis-inference-by-scientific-role,seed,,2,NEEDS AUDIT,PASS
U1-S1-PS1-Q13,U1-S1-PS1-Q13,1.1,Practice Set 1,PS1,13,U1-S1-IC2,I can explain why a claim must be testable to be scientific.,identify whether a claim is testable from what could be observed or measured,PROC-DIRECT-EXECUTE-01,direct_text,u1-s1-ic2-identify-claim-is-testable-what-could-be-observed-measured,seed,,1,NEEDS AUDIT,PASS
U1-S1-PS1-Q14,U1-S1-PS1-Q14,1.1,Practice Set 1,PS1,14,U1-S1-IC2,I can explain why a claim must be testable to be scientific.,identify missing evidence needed to test a plausible explanation,MISSING-INFO-IDENTIFY-NEEDED-01,direct_text,u1-s1-ic2-identify-missing-evidence-needed-test-plausible-explanation,seed,,1,NEEDS AUDIT,PASS
U1-S1-PS1-Q15,U1-S1-PS1-Q15,1.1,Practice Set 1,PS1,15,U1-S1-IC3,"I can use evidence from a short scenario to decide whether a physics explanation is supported and explain why formulas in physics are guides for thinking, not just tools for calculation.",select the explanation best supported by a compact evidence set,CER-CLAIM-EVIDENCE-REASONING-01,evidence_set,u1-s1-ic3-select-explanation-best-supported-by-evidence-set,seed,,2,NEEDS AUDIT,PASS
U1-S1-PS1-Q16,U1-S1-PS1-Q16,1.1,Practice Set 1,PS1,16,U1-S1-IC3,"I can use evidence from a short scenario to decide whether a physics explanation is supported and explain why formulas in physics are guides for thinking, not just tools for calculation.",critique an explanation that overstates what the measurements establish,ERROR-CRITIQUE-CLAIM-01,table_data,u1-s1-ic3-critique-explanation-overstates-what-measurements-establish,seed,,2,NEEDS AUDIT,PASS
U1-S1-PS1-Q17,U1-S1-PS1-Q17,1.1,Practice Set 1,PS1,17,U1-S1-IC3,"I can use evidence from a short scenario to decide whether a physics explanation is supported and explain why formulas in physics are guides for thinking, not just tools for calculation.",interpret what the variables in a simple relationship physically represent,PHYS-QUALITATIVE-CHANGE-PREDICT-01,equation_relationship,u1-s1-ic3-interpret-what-variables-simple-relationship-physically-represent,seed,,2,NEEDS AUDIT,PASS
U1-S1-PS1-Q18,U1-S1-PS1-Q18,1.1,Practice Set 1,PS1,18,U1-S1-IC1,"I can distinguish between an observation, inference, hypothesis, law, and theory.",separate measurement from interpretation in a model-building context,PHYS-ASSUMPTION-MODEL-CRITIQUE-01,model_note,u1-s1-ic1-separate-measurement-interpretation-model-building,seed,,2,NEEDS AUDIT,PASS
U1-S1-PS1-Q19,U1-S1-PS1-Q19,1.1,Practice Set 1,PS1,19,U1-S1-IC2,I can explain why a claim must be testable to be scientific.,compare a scientific claim with a non-testable claim,ERROR-CRITIQUE-CLAIM-01,direct_text,u1-s1-ic2-compare-scientific-claim-non-testable-claim,seed,,2,NEEDS AUDIT,PASS
U1-S1-PS1-Q20,U1-S1-PS1-Q20,1.1,Practice Set 1,PS1,20,U1-S1-IC3,"I can use evidence from a short scenario to decide whether a physics explanation is supported and explain why formulas in physics are guides for thinking, not just tools for calculation.",connect a model prediction to the evidence that would support or challenge it,PHYS-PREDICT-JUSTIFY-01,model_evidence,u1-s1-ic3-connect-model-prediction-evidence-would-support-challenge-it,seed,,2,NEEDS AUDIT,PASS
U1-S1-PS1-Q21,U1-S1-PS1-Q21,1.1,Practice Set 1,PS1,21,U1-S1-IC3,"I can use evidence from a short scenario to decide whether a physics explanation is supported and explain why formulas in physics are guides for thinking, not just tools for calculation.",use a supplied simple measurement/model relationship in a physical situation and interpret the result,FORMULA-DIRECT-RELATIONSHIP-01,equation_relationship,u1-s1-ic3-supplied-simple-measurement-model-relationship-physical-situation-interpret-result,seed,,2,NEEDS AUDIT,PASS
