Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer
1,A suitcase moves in a straight line at constant speed. What does Newton's First Law imply about the net force?,The net force can be zero even though individual forces act.,A forward net force is required to maintain the speed.,No forces of any kind can act.,The net force must point backward.,1
2,A cart is speeding up to the right. What must be true about its net force?,It is exactly zero.,It must point left because the cart is moving right.,All forces on the cart have disappeared.,It is nonzero and has a rightward component.,4
3,A car moves at constant speed around a curve. Which statement is correct?,No forces act because the speed does not change.,Inertia provides a forward force around the curve.,"Its velocity changes direction, so the net force is not zero.",Its net force is zero because its speed is constant.,3
4,An air-hockey puck remains at rest until it is struck. Which explanation best uses Newton's First Law?,Gravity is absent while the puck is at rest.,"With zero net force, an object at rest remains at rest.",Resting objects have no inertia.,A hidden motion force holds the puck still.,2
5,A plate tends to stay in place when a tablecloth is pulled quickly from under it. Which idea best explains this?,Inertia—the plate resists a change in its state of motion.,A forward inertia force pushes the plate.,The plate has no mass while the cloth moves.,The plate moves only because gravity turns off.,1
6,Which object has greater inertia?,An empty cart with less mass,They have equal inertia because both can move.,The faster cart always has greater inertia regardless of mass.,A loaded cart with greater mass,4
7,Which statement about inertia is correct?,Inertia exists only while an object accelerates.,Inertia disappears when an object is at rest.,"Inertia is a property of matter, not an extra force.",Inertia is a forward force on every moving object.,3
8,Does a stationary bowling ball have inertia?,Only if its net force is nonzero.,"Yes. Inertia depends on mass, not whether the object is moving.",No. Only moving objects have inertia.,Only if a force is currently pushing it.,2
9,Two carts receive similar brief pushes. One cart is much more massive. Which is expected to change speed less?,The more massive cart because it has greater inertia.,The less massive cart because it has less inertia.,Both must change speed by exactly the same amount.,Neither can change speed because inertia is a force.,1
10,A laptop rests on a desk. Which two main vertical forces act on the laptop?,Weight downward and the laptop's push on the desk downward,Two upward support forces and no weight,A forward motion force and friction,Weight downward and desk support upward,4
11,Two students pull a cart with equal forces in opposite directions. What is the best description?,The cart must accelerate toward both students.,The larger student automatically creates a larger force.,"Forces are present, but the horizontal net force is zero.",No forces act on the cart.,3
12,A crate is pulled 45 N right and 45 N left. What is the horizontal net force?,90 N right,0 N,45 N right,45 N left,2
13,A box moves across a rough floor at constant speed while someone pushes it. Which horizontal force relationship is consistent with the motion?,The applied push and friction balance.,The push is larger than friction.,Friction is larger than the push.,There can be no friction because the box is moving.,1
14,A person stands still on a scale. Which statement is correct about the person?,No forces act because the person is at rest.,The person's weight acts upward.,The scale reading is an inertia force.,The upward scale force balances the person's weight.,4
15,An idealized space probe far from significant interactions moves at constant velocity. What is required to keep it moving?,An inertia force in the direction of motion,A backward force to prevent acceleration,No continuing net force is required.,A continuous forward force equal to its weight,3
16,"A book rests on a table. If the table support suddenly disappears, what is the initial net-force direction?",Forward,Downward,Upward,Zero,2
17,Which example best represents approximately no force rather than several forces that cancel?,An isolated object far from significant interactions,A book resting on a table,A hanging lamp supported by a cord,A cart pulled equally in opposite directions,1
18,Two nonzero horizontal forces are equal in magnitude and opposite in direction. What is their resultant?,The magnitude of either one,"Twice either force, toward the right","Twice either force, toward the left",0 N,4
19,What is the support force on a book resting on a level table?,The book's inertia,The book's direction of motion,The table's upward contact force on the book,The book's downward force on the table,3
20,What does zero net force tell you about an object?,Its speed must be increasing.,Its acceleration is zero; its velocity may be zero or nonzero.,Its velocity must be zero.,No individual forces can be acting.,2
