evidence_point_id,mastery_goal_id,bank_id,destination,unit,section,version,blueprint_slot_id,question_family_id,learning_target,i_can,practice_standard,representation,expected_evidence,security_level,estimated_time,rubric_reference,notes
U2-EP001,U2-MG01,U2-S1-ET-A-Q01,Exit Ticket,2,2.1,,,U2-S1-ET-A-F01,Students will explain that motion is relative and describe an object’s motion using an appropriate frame of reference.,I can explain why an object can be moving relative to one reference frame but not another.,modeling; perspective/representation reasoning; explanation,paired reference-frame narrative,At rest relative to the belt; moving east relative to the floor tile. Naming “relative to” a reference frame makes the statements complete.,formative-secure,180,Course progress language: Not Yet / Approaching / Meeting / Exceeding,
U2-EP002,U2-MG01,U2-S1-ET-B-Q01,Exit Ticket,2,2.1,,,U2-S1-ET-B-F01,Students will explain that motion is relative and describe an object’s motion using an appropriate frame of reference.,I can identify the reference frame used in a motion description.,modeling; perspective/representation reasoning; explanation,compare observer claims,They use different reference frames: the train frame makes the post move west; the station/Earth frame makes the train move east.,formative-secure,180,Course progress language: Not Yet / Approaching / Meeting / Exceeding,
U2-EP003,U2-MG01,U2-S1-ET-C-Q01,Exit Ticket,2,2.1,,,U2-S1-ET-C-F01,Students will explain that motion is relative and describe an object’s motion using an appropriate frame of reference.,I can compare motion from two different points of view and explain why everyday motion is usually described relative to Earth’s surface.,modeling; perspective/representation reasoning; explanation,position data plus reference frame,Displacement is -8 m (8 m left). Example: The robot moved 8 m left relative to the doorway.,formative-secure,180,Course progress language: Not Yet / Approaching / Meeting / Exceeding,
U2-EP004,U2-MG02,U2-S2-ET-A-Q01,Exit Ticket,2,2.2,,,U2-S2-ET-A-F01,"Students will distinguish between speed and velocity and use distance, time, and direction to describe motion.",I can calculate average speed from distance and time.,quantitative reasoning; data interpretation; communication with units,calculation plus velocity meaning,7 m/s; velocity also needs direction.,formative-secure,180,Course progress language: Not Yet / Approaching / Meeting / Exceeding,
U2-EP005,U2-MG02,U2-S2-ET-B-Q01,Exit Ticket,2,2.2,,,U2-S2-ET-B-F01,"Students will distinguish between speed and velocity and use distance, time, and direction to describe motion.",I can distinguish instantaneous speed from average speed.,quantitative reasoning; data interpretation; communication with units,two-leg trip,Distance 120 m; average speed 8 m/s. Average velocity requires displacement with direction.,formative-secure,180,Course progress language: Not Yet / Approaching / Meeting / Exceeding,
U2-EP006,U2-MG02,U2-S2-ET-C-Q01,Exit Ticket,2,2.2,,,U2-S2-ET-C-F01,"Students will distinguish between speed and velocity and use distance, time, and direction to describe motion.","I can explain that velocity includes both speed and direction and compare examples of constant speed, constant velocity, and changing velocity.",quantitative reasoning; data interpretation; communication with units,tabular speed evidence,"No. Interval speeds are 4 m/s, 6 m/s, and 8 m/s.",formative-secure,180,Course progress language: Not Yet / Approaching / Meeting / Exceeding,
U2-EP007,U2-MG03,U2-S3-ET-A-Q01,Exit Ticket,2,2.3,,,U2-S3-ET-A-F01,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.",I can calculate acceleration from change in velocity and time.,graph/data interpretation; quantitative reasoning; model translation,signed acceleration and speed trend,Acceleration +2 m/s^2; it slows because speed decreases from 10 to 2 m/s.,formative-secure,180,Course progress language: Not Yet / Approaching / Meeting / Exceeding,
U2-EP008,U2-MG03,U2-S3-ET-B-Q01,Exit Ticket,2,2.3,,,U2-S3-ET-B-F01,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can explain that acceleration can involve speeding up, slowing down, or changing direction.",graph/data interpretation; quantitative reasoning; model translation,constant-speed turning,"Yes. Direction changes, so velocity changes even though speed remains 6 m/s.",formative-secure,180,Course progress language: Not Yet / Approaching / Meeting / Exceeding,
U2-EP009,U2-MG03,U2-S3-ET-C-Q01,Exit Ticket,2,2.3,,,U2-S3-ET-C-F01,"Students will explain acceleration as the rate at which velocity changes and identify acceleration from motion descriptions, data, and graphs.","I can identify positive, negative, or zero acceleration from a motion situation and interpret simple motion graphs and connect them to velocity or acceleration.",graph/data interpretation; quantitative reasoning; model translation,velocity-time graph interpretation,Acceleration +2 m/s^2. Crossing v=0 means the object is momentarily at rest and reverses direction.,formative-secure,180,Course progress language: Not Yet / Approaching / Meeting / Exceeding,
U2-EP010,U2-MG03,U2-S4-ET-A-Q01,Exit Ticket,2,2.4,,,U2-S4-ET-A-F01,Students will describe free fall as motion under the influence of gravity alone and use simple free-fall relationships to determine speed or distance fallen.,I can explain why objects in free fall accelerate at the same rate when air resistance is ignored.,mathematical reasoning; model evaluation; explanation of phenomena,free-fall dual relationship,"Speed 30 m/s; distance 45 m. Speed is proportional to t, while distance from rest is proportional to t^2.",formative-secure,180,Course progress language: Not Yet / Approaching / Meeting / Exceeding,
U2-EP011,U2-MG03,U2-S4-ET-B-Q01,Exit Ticket,2,2.4,,,U2-S4-ET-B-F01,Students will describe free fall as motion under the influence of gravity alone and use simple free-fall relationships to determine speed or distance fallen.,I can use $g \approx 10\text{ m/s}^2$ to determine speed gained during free fall.,mathematical reasoning; model evaluation; explanation of phenomena,vacuum comparison,They fall together with the same acceleration because gravity produces the same free-fall acceleration when air resistance is absent.,formative-secure,180,Course progress language: Not Yet / Approaching / Meeting / Exceeding,
U2-EP012,U2-MG03,U2-S4-ET-C-Q01,Exit Ticket,2,2.4,,,U2-S4-ET-C-F01,Students will describe free fall as motion under the influence of gravity alone and use simple free-fall relationships to determine speed or distance fallen.,I can use free-fall patterns to compare distance fallen during different time intervals and distinguish free fall from falling with significant air resistance.,mathematical reasoning; model evaluation; explanation of phenomena,model limitation with drag,"No. Significant air resistance prevents gravity alone from describing the later motion, so the ideal model is not appropriate.",formative-secure,180,Course progress language: Not Yet / Approaching / Meeting / Exceeding,
U2-EP013,U2-MG04,U2-S5-ET-A-Q01,Exit Ticket,2,2.5,,,U2-S5-ET-A-F01,"Students will use velocity vectors, motion diagrams, and simple graphs to model and explain the motion of objects.",I can represent velocity with arrows that show both speed and direction.,develop/evaluate models; representation translation; argument from evidence,vector-turn interpretation,"Speed can remain constant, but velocity changes because direction changes.",formative-secure,180,Course progress language: Not Yet / Approaching / Meeting / Exceeding,
U2-EP014,U2-MG04,U2-S5-ET-B-Q01,Exit Ticket,2,2.5,,,U2-S5-ET-B-F01,"Students will use velocity vectors, motion diagrams, and simple graphs to model and explain the motion of objects.",I can compare velocity vectors to determine whether an object’s velocity is changing.,develop/evaluate models; representation translation; argument from evidence,position-time graph to velocity vectors and future position,Slope/velocity = (-2-10)/(5-1) = -3 m/s. Matching velocity arrows have equal length and point in the negative direction. Continuing 2 more seconds from -2 m gives position -8 m at 7 s.,formative-secure,180,Course progress language: Not Yet / Approaching / Meeting / Exceeding,
