Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
1,A book rests on a table. Which statement is correct? (Practice family 18),No forces act.,Only weight acts.,Weight and support can be nonzero while the net force is zero.,Inertia acts upward.,20,3
2,Which statement about inertia is correct? (Practice family 13),Inertia is a property of matter that resists changes in velocity.,Inertia is a forward force.,Inertia is the net force.,Inertia acts only on moving objects.,20,1
3,A book rests on a table. Which statement is correct? (Practice family 19),No forces act.,Only weight acts.,Weight and support can be nonzero while the net force is zero.,Inertia acts upward.,20,3
4,A book rests on a table. Which statement is correct? (Practice family 29),Weight and support can be nonzero while the net force is zero.,No forces act.,Only weight acts.,Inertia acts upward.,20,1
5,"If the net force on a moving object is zero, what happens to its velocity? (Practice family 07)",It must become zero.,It must increase.,It remains constant.,It reverses direction.,20,3
6,"If the net force on a moving object is zero, what happens to its velocity? (Practice family 05)",It remains constant.,It must become zero.,It must increase.,It reverses direction.,20,1
7,Which statement about inertia is correct? (Practice family 10),Inertia is a forward force.,Inertia is the net force.,Inertia acts only on moving objects.,Inertia is a property of matter that resists changes in velocity.,20,4
8,A book rests on a table. Which statement is correct? (Practice family 22),No forces act.,Weight and support can be nonzero while the net force is zero.,Only weight acts.,Inertia acts upward.,20,2
9,"If the net force on a moving object is zero, what happens to its velocity? (Practice family 02)",It must become zero.,It must increase.,It remains constant.,It reverses direction.,20,3
10,A book rests on a table. Which statement is correct? (Practice family 28),Weight and support can be nonzero while the net force is zero.,No forces act.,Only weight acts.,Inertia acts upward.,20,1
11,A book rests on a table. Which statement is correct? (Practice family 17),Weight and support can be nonzero while the net force is zero.,No forces act.,Only weight acts.,Inertia acts upward.,20,1
12,A book rests on a table. Which statement is correct? (Practice family 27),No forces act.,Weight and support can be nonzero while the net force is zero.,Only weight acts.,Inertia acts upward.,20,2
13,"If the net force on a moving object is zero, what happens to its velocity? (Practice family 03)",It remains constant.,It must become zero.,It must increase.,It reverses direction.,20,1
14,Which statement about inertia is correct? (Practice family 16),Inertia is a forward force.,Inertia is the net force.,Inertia acts only on moving objects.,Inertia is a property of matter that resists changes in velocity.,20,4
15,Which statement about inertia is correct? (Practice family 15),Inertia is a forward force.,Inertia is a property of matter that resists changes in velocity.,Inertia is the net force.,Inertia acts only on moving objects.,20,2
16,"If the net force on a moving object is zero, what happens to its velocity? (Practice family 04)",It must become zero.,It remains constant.,It must increase.,It reverses direction.,20,2
17,"If the net force on a moving object is zero, what happens to its velocity? (Practice family 06)",It must become zero.,It remains constant.,It must increase.,It reverses direction.,20,2
18,Which statement about inertia is correct? (Practice family 09),Inertia is a forward force.,Inertia is the net force.,Inertia is a property of matter that resists changes in velocity.,Inertia acts only on moving objects.,20,3
19,Which statement about inertia is correct? (Practice family 14),Inertia is a forward force.,Inertia is a property of matter that resists changes in velocity.,Inertia is the net force.,Inertia acts only on moving objects.,20,2
20,A book rests on a table. Which statement is correct? (Practice family 24),No forces act.,Weight and support can be nonzero while the net force is zero.,Only weight acts.,Inertia acts upward.,20,2
