image_id,toolkit_path,filename,curriculum_unit,curriculum_section,hewitt_chapter,hewitt_subsection_hint,primary_story_role,story_roles,concept_tags,alt_text,caption,what_students_should_notice_candidate,sha256,duplicate_of,source_catalog_path
PHYS-6B7B9CF83824,images/unit1/PHYS-6B7B9CF83824__unit1-book-table-forces.png,unit1-book-table-forces.png,1,,,,table_or_data,table_or_data; model_or_diagram,force,Book resting on a table with weight and support force,,Book resting on a table with weight and support force.,6b7b9cf838242635333cad269c73280622748d71f15800aac8df4f6b72a0a54a,,units/unit1/figures/unit1-book-table-forces.png
PHYS-9C32901B2ABF,images/unit1/PHYS-9C32901B2ABF__unit1-box-constant-speed.png,unit1-box-constant-speed.png,1,,,,model_or_diagram,model_or_diagram; phenomenon_or_example,force; speed; friction,Box moving at constant speed with a push and friction | Constant-speed box force diagram,,Box moving at constant speed with a push and friction | Constant-speed box force diagram.,9c32901b2abf235641b4e09eaca9b62f1b09f0ddf86d2e80d43d65e798d39efb,,units/unit1/figures/unit1-box-constant-speed.png
PHYS-CE653198C2C5,images/unit1/PHYS-CE653198C2C5__unit1-flawed-cart-diagram.png,unit1-flawed-cart-diagram.png,1,,,,misconception_or_critique,misconception_or_critique; model_or_diagram; phenomenon_or_example,force; speed,Flawed force diagram for a cart rolling at constant speed,,Flawed force diagram for a cart rolling at constant speed.,ce653198c2c5ab7212ec7d0ed00c8aa596b04dc5542280e02669bd759c5b769b,,units/unit1/figures/unit1-flawed-cart-diagram.png
PHYS-AA6B41E5091B,images/unit1/PHYS-AA6B41E5091B__unit1-hanging-signs.png,unit1-hanging-signs.png,1,,,,comparison,comparison,,One hanging sign with one chain and one hanging sign with two chains,,One hanging sign with one chain and one hanging sign with two chains.,aa6b41e5091bf4db4a6c745526ba2406b1c0d9bc1bc2b996a16fef6369e7ab60,,units/unit1/figures/unit1-hanging-signs.png
PHYS-70800F1157C9,images/unit1/PHYS-70800F1157C9__unit1-opposing-forces.png,unit1-opposing-forces.png,1,,,,model_or_diagram,model_or_diagram; phenomenon_or_example,force,Opposing forces on a box,,Opposing forces on a box.,70800f1157c9f4803ac7c1191f278cb1f742ba0ac67d064fbe17b716759d58aa,,units/unit1/figures/unit1-opposing-forces.png
PHYS-EAE46BC4363D,images/unit1/PHYS-EAE46BC4363D__unit1-plant-basket-forces.png,unit1-plant-basket-forces.png,1,,,,model_or_diagram,model_or_diagram; comparison; phenomenon_or_example,force,Plant basket supported by two angled chains,,Plant basket supported by two angled chains.,eae46bc4363dedec1eb5bc15d27d80575c8bafc7363ddcd65c499f9106c0f120,,units/unit1/figures/unit1-plant-basket-forces.png
PHYS-DBC68196705B,images/unit1/PHYS-DBC68196705B__unit1-representation-mismatch.png,unit1-representation-mismatch.png,1,,,,model_or_diagram,model_or_diagram; experiment_or_measurement,force; speed,A crate moving at constant speed with an unbalanced force diagram,,A crate moving at constant speed with an unbalanced force diagram.,dbc68196705b4765fae3b937ae74eeca9de8fa01284fda84e8ac937046c74fff,,units/unit1/figures/unit1-representation-mismatch.png
PHYS-DAC530DEBC21,images/unit1/PHYS-DAC530DEBC21__unit1-scale-forces.png,unit1-scale-forces.png,1,,,,model_or_diagram,model_or_diagram; experiment_or_measurement; phenomenon_or_example,force,Person standing on a scale with scale force and weight | Scale force and weight on a person,,Person standing on a scale with scale force and weight | Scale force and weight on a person.,dac530debc2144e3387657c18d2d2c04a7ee25645ce7a9a9a7a102eba28923b2,,units/unit1/figures/unit1-scale-forces.png
PHYS-89A1BA54AF31,images/unit1/PHYS-89A1BA54AF31__u1_1_from_ch_1_1_eratosthenes_earth_measurement.png,u1_1_from_ch_1_1_eratosthenes_earth_measurement.png,1,1.1,1,1,model_or_diagram,model_or_diagram; experiment_or_measurement; comparison; historical_story; phenomenon_or_example,,"Eratosthenes measurement diagram showing Syene, Alexandria, Sun rays, verticals, and 7.1 degree angle.","Figure 1.1 When the Sun is directly overhead at Syene, it is not directly overhead in Alexandria, 800 km north. When the Sun’s rays shine directly down a vertical well in Syene, they cast a shadow of a vertical pillar in Alexandria. The verticals at both locations extend to the center of Earth, and they make the same angle that the Sun’s rays make with the pillar at Alexandria. Eratosthenes measured this angle to be 1/50 of a complete circle. Therefore, the distance between Alexandria and Syene is 1/50 Earth’s circumference.","Eratosthenes measurement diagram showing Syene, Alexandria, Sun rays, verticals, and 7.1 degree angle.",89a1ba54af318d01ad149f9b9535998fec260fec3eb78597e0677731cbe11fa3,,units/unit1/images_1_1/u1_1_from_ch_1_1_eratosthenes_earth_measurement.png
PHYS-E86B1795CA98,images/unit1/PHYS-E86B1795CA98__u1_1_from_ch_1_2_lunar_eclipse_earth_shadow.png,u1_1_from_ch_1_2_lunar_eclipse_earth_shadow.png,1,1.1,1,2,model_or_diagram,model_or_diagram; comparison; phenomenon_or_example,,Lunar eclipse geometry diagram showing Earth shadow and Moon shadow taper.,"Figure 1.2 During a lunar eclipse, Earth’s shadow is observed to be 2.5 times as wide as the Moon’s diameter. Because of the Sun’s large size, Earth’s shadow must taper. The amount of taper is evident during a solar eclipse, where the Moon’s shadow tapers a whole Moon diameter from Moon to Earth. So Earth’s shadow tapers the same amount in the same distance. Therefore, Earth’s diameter must be 3.5 Moon diameters.",Lunar eclipse geometry diagram showing Earth shadow and Moon shadow taper.,e86b1795ca98778d7a24c1400872d1bfd83178cd146f72b864a0f50c1fffd751,,units/unit1/images_1_1/u1_1_from_ch_1_2_lunar_eclipse_earth_shadow.png
