TARSIA PAIRS — Section 2.4
01	An object starts from rest and falls freely for 2 s. Using g ≈ 10 m/s², determine the speed gained.	about 20 m/s downward
02	Use the ideal free-fall table to compare how distance fallen changes from one second to the next. Then explain why a sheet of paper falling through air may not follow this pattern.	Distance increases by progressively larger amounts because speed is increasing; a sheet of paper can deviate because air resistance is significant.
03	An object starts from rest and falls freely for 4 s. Using g ≈ 10 m/s², determine the speed gained.	about 40 m/s downward
04	Two compact objects of masses 3 kg and 7 kg are dropped together in a vacuum from the same height. Predict their accelerations and explain why one does not “fall faster” simply because it is heavier.	Both accelerate downward at the same gravitational acceleration, about 10 m/s², when air resistance is ignored.
05	Use the ideal free-fall table to compare how distance fallen changes from one second to the next. Then explain why a sheet of paper falling through air may not follow this pattern.	Distance increases by progressively larger amounts because speed is increasing; a sheet of paper can deviate because air resistance is significant.
06	An object starts from rest and falls freely for 1 s. Using g ≈ 10 m/s², determine the speed gained.	about 10 m/s downward
07	An object starts from rest and falls freely for 2 s. Using g ≈ 10 m/s², determine the speed gained.	about 20 m/s downward
08	Use the ideal free-fall table to compare how distance fallen changes from one second to the next. Then explain why a sheet of paper falling through air may not follow this pattern.	Distance increases by progressively larger amounts because speed is increasing; a sheet of paper can deviate because air resistance is significant.
09	Use the ideal free-fall table to compare how distance fallen changes from one second to the next. Then explain why a sheet of paper falling through air may not follow this pattern.	Distance increases by progressively larger amounts because speed is increasing; a sheet of paper can deviate because air resistance is significant.
10	Two compact objects of masses 2 kg and 6 kg are dropped together in a vacuum from the same height. Predict their accelerations and explain why one does not “fall faster” simply because it is heavier.	Both accelerate downward at the same gravitational acceleration, about 10 m/s², when air resistance is ignored.
11	Two compact objects of masses 1 kg and 5 kg are dropped together in a vacuum from the same height. Predict their accelerations and explain why one does not “fall faster” simply because it is heavier.	Both accelerate downward at the same gravitational acceleration, about 10 m/s², when air resistance is ignored.
12	Use the ideal free-fall table to compare how distance fallen changes from one second to the next. Then explain why a sheet of paper falling through air may not follow this pattern.	Distance increases by progressively larger amounts because speed is increasing; a sheet of paper can deviate because air resistance is significant.
13	Use the ideal free-fall table to compare how distance fallen changes from one second to the next. Then explain why a sheet of paper falling through air may not follow this pattern.	Distance increases by progressively larger amounts because speed is increasing; a sheet of paper can deviate because air resistance is significant.
14	An object starts from rest and falls freely for 3 s. Using g ≈ 10 m/s², determine the speed gained.	about 30 m/s downward
15	Two compact objects of masses 3 kg and 7 kg are dropped together in a vacuum from the same height. Predict their accelerations and explain why one does not “fall faster” simply because it is heavier.	Both accelerate downward at the same gravitational acceleration, about 10 m/s², when air resistance is ignored.
16	Use the ideal free-fall table to compare how distance fallen changes from one second to the next. Then explain why a sheet of paper falling through air may not follow this pattern.	Distance increases by progressively larger amounts because speed is increasing; a sheet of paper can deviate because air resistance is significant.
17	Two compact objects of masses 2 kg and 6 kg are dropped together in a vacuum from the same height. Predict their accelerations and explain why one does not “fall faster” simply because it is heavier.	Both accelerate downward at the same gravitational acceleration, about 10 m/s², when air resistance is ignored.
18	Two compact objects of masses 1 kg and 5 kg are dropped together in a vacuum from the same height. Predict their accelerations and explain why one does not “fall faster” simply because it is heavier.	Both accelerate downward at the same gravitational acceleration, about 10 m/s², when air resistance is ignored.
