Directly recorded information, observation
Interpretation built from evidence, inference
Testable proposed explanation, hypothesis
Relationship that consistently describes a pattern, scientific law
Broad evidence-based explanation, scientific theory
Information used to support or challenge a claim, evidence
Simplified representation of a system, model
Claim that can be checked with observations, testable claim
A sensor reads 2.4 m/s, measurement
A cart slowed because the floor is rough, inference about cause
Repeat a trial under the same conditions, check repeatability
Change one factor while controlling others, fair comparison
Claim plus data plus link to physics idea, CER structure
$d=vt$ describes how quantities relate, physical relationship
A result that disagrees with a prediction, evidence to investigate
Model leaves out irrelevant details, useful simplification
Two explanations predict different outcomes, design a discriminating test
Conclusion written from measured results, evidence-based conclusion
