1. A cart’s velocity changes from 1 m/s to 9 m/s in 2 s. Calculate its average acceleration.	4 m/s²
2. Use the velocity–time graph to identify whether the acceleration is positive, negative, or zero and justify your answer from the graph slope.	positive acceleration
3. Use the velocity–time graph to identify whether the acceleration is positive, negative, or zero and justify your answer from the graph slope.	zero acceleration
4. A cart’s velocity changes from 1 m/s to 17 m/s in 4 s. Calculate its average acceleration.	4 m/s²
5. A cart’s velocity changes from 3 m/s to 13 m/s in 5 s. Calculate its average acceleration.	2 m/s²
6. Use the velocity–time graph to identify whether the acceleration is positive, negative, or zero and justify your answer from the graph slope.	zero acceleration
7. A car travels north and turns east at constant speed. Explain why it is accelerating during the turn even though its speed does not change.	Acceleration occurs because velocity changes direction; a change in either speed or direction is a change in velocity.
8. A cart’s velocity changes from 2 m/s to 6 m/s in 2 s. Calculate its average acceleration.	2 m/s²
9. Use the velocity–time graph to identify whether the acceleration is positive, negative, or zero and justify your answer from the graph slope.	positive acceleration
10. A skateboarder moves west while slowing down. State the direction of the skateboarder’s velocity and acceleration, and explain why the skateboarder is accelerating even though speed decreases.	Velocity is west; acceleration is east. Acceleration is any change in velocity, including a decrease in speed.
11. A skateboarder moves east while slowing down. State the direction of the skateboarder’s velocity and acceleration, and explain why the skateboarder is accelerating even though speed decreases.	Velocity is east; acceleration is west. Acceleration is any change in velocity, including a decrease in speed.
12. A car travels north and turns east at constant speed. Explain why it is accelerating during the turn even though its speed does not change.	Acceleration occurs because velocity changes direction; a change in either speed or direction is a change in velocity.
13. Use the velocity–time graph to identify whether the acceleration is positive, negative, or zero and justify your answer from the graph slope.	zero acceleration
14. A cart’s velocity changes from 0 m/s to 12 m/s in 3 s. Calculate its average acceleration.	4 m/s²
15. A cart’s velocity changes from 3 m/s to 13 m/s in 5 s. Calculate its average acceleration.	2 m/s²
16. A cart’s velocity changes from 0 m/s to 6 m/s in 3 s. Calculate its average acceleration.	2 m/s²
17. A skateboarder moves east while slowing down. State the direction of the skateboarder’s velocity and acceleration, and explain why the skateboarder is accelerating even though speed decreases.	Velocity is east; acceleration is west. Acceleration is any change in velocity, including a decrease in speed.
18. Use the velocity–time graph to identify whether the acceleration is positive, negative, or zero and justify your answer from the graph slope.	zero acceleration
