Question #,Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer
1,A person stands still on a level floor. Which two main forces belong on the person's force diagram?,Weight down and floor support up,Weight down and the person's push on the floor down,A forward motion force and friction,Only weight,1
2,A sign hangs motionless from one vertical cord. Which forces act on the sign?,Two downward forces,Only cord tension,Weight up and tension down,Weight down and cord tension up,4
3,A lamp hangs from two slanted cords. Which force diagram description is correct?,Two horizontal tensions with no weight,A motion force upward plus weight,Weight down plus two tensions directed along the cords,Weight down plus one vertical tension only,3
4,A crate is held at rest on a rough floor by a slanted rope. Which set of forces can act on the crate?,Only weight and floor support,"Weight, floor support, rope tension, and static friction",Weight and a motion force only,Rope tension and the crate's force on the floor,2
5,A wagon rolls right and slows after the pull has ended. Which horizontal force is most consistent with its force diagram?,A resistive/friction force to the left,A net force to the right,A forward inertia force,No horizontal force can act while it moves,1
6,A force diagram for a book includes the book's downward push on the table as a force on the book. What is wrong?,The book cannot exert forces.,Weight should point upward.,The table support should point downward.,"That force acts on the table, not on the book.",4
7,"A student adds a forward ""motion force"" because a puck is moving forward. What is the correct critique?",The motion force is the same as weight.,The motion force replaces all contact forces.,Motion direction is not itself a force; only real interactions belong on the diagram.,Every moving object has a motion force.,3
8,A puck glides straight at steady velocity. What does the motion imply about the overall force balance?,No forces can act.,The forces are balanced; net force is zero.,The net force points forward.,The net force points backward.,2
9,A toy car increases speed to the right. Which conclusion fits?,Forces are unbalanced with a rightward net force.,Forces are balanced.,Net force is zero because the car is already moving.,A leftward net force causes the rightward speed increase.,1
10,A cart has 40 N right and 40 N left. What is the horizontal force condition?,Unbalanced; net force is 80 N right.,Unbalanced; net force is 40 N right.,Balanced only if the cart is at rest.,Balanced; net force is 0 N.,4
11,A sled has 55 N right and 20 N left. What is the horizontal net force?,75 N right,0 N,35 N right,35 N left,3
12,A hanging sign remains motionless. What must be true about its net force?,No forces act on the sign.,The net force is zero.,The net force points upward.,The net force points downward.,2
13,A student says constant speed always means equilibrium. Which example disproves the claim?,An object moving at constant speed around a curve,An object moving straight at constant velocity,A book resting on a table,A sign hanging motionless,1
14,"A cart moves at constant velocity, but a model shows 80 N right and 20 N left as the only horizontal forces. What is the problem?",The forces are balanced because both are horizontal.,Constant velocity requires a rightward net force.,The 20 N arrow should be removed because it points left.,"The drawn forces give a 60 N rightward net force, inconsistent with constant velocity.",4
15,A 60 N rightward force opposes a 25 N leftward force. What is the resultant?,35 N left,0 N,35 N right,85 N right,3
16,A 60 N leftward force arrow and a 20 N rightward arrow are drawn the same length on one scale. What should be corrected?,"Arrow length should represent object mass, not force.",The 60 N arrow should be three times the length of the 20 N arrow.,Both arrows should stay equal because direction is all that matters.,The 20 N arrow should be three times longer.,2
17,What does zero net force mean for velocity?,Velocity remains constant; it does not have to be zero.,Velocity must be zero.,Velocity must increase.,The object must move only to the right.,1
18,A motionless hanging lamp model shows only weight downward. What force is missing?,A downward inertia force,A forward motion force,No force is missing because the lamp is still,Upward tension/support from the cord or cords,4
19,A wagon moves right but slows. What direction should its acceleration and net force point?,Upward,Zero,Left,Right,3
20,Which statement correctly connects net force and acceleration?,A moving object must have a forward net force.,Acceleration points in the direction of the net force.,Acceleration always points in the direction of velocity.,Zero net force means zero velocity.,2
